companyInternationalName,companyIdentifier,primaryIndustryType,primaryIndustryCode,entityLegalForm,largeFirm,primaryCountry,primaryStateProvince,recommendedModel,financialStatementDate,currency,units,statementType,regulatoryFilingType,auditQuality,reportingPeriod,cashAndMarketableSecurities,totalAccountsReceivable,totalInventory,totalCurrentAssets,totalAccumulatedDepreciation,totalFixedAssets,totalIntangibleAssets,totalAssets,notesPayable,debtCurrentMaturities,shortTermDebt,totalAccountsPayable,totalCurrentLiabilities,totalLongTermDebt,totalNonCurrentLiabilities,totalProvisions,totalLiabilities,retainedEarnings,netWorth,netSales,totalCostOfGoodsSold,grossIncome,totalWageExpense,totalAmortizationAndDepreciation,totalOperatingExpense,totalOperatingProfit,financeCosts,profitBeforeTaxesAndExtraordinaryExpenses,currentIncomeTaxExpense,totalExtraordinaryItems,netIncome,ebitda
HUNTINGTON HONDA  31642,T001T31642,NAICS,4411,,,USA,NY,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,10539.078,,24006.827,,,,,50851.068,,,,,26480.943,,,,,18434.007,,189146.031,,,,340.556,,8798.317,647.018,,,,8201.928,
HUNTINGTON HONDA  31642,T001T31642,NAICS,4411,,,USA,NY,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,179559.486,,,,,,12650.338,,,,,,
DOGGETT TOYOTA OF BEAUMONT  42410,T001T42410,NAICS,4411,,,USA,TX,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,622.173,,4262.839,,,,,27080.041,,,,,4971.901,,,,,2784.339,,58593.077,,,,211.93,,422.231,2.351,,,,974.994,
DOGGETT TOYOTA OF BEAUMONT  42410,T001T42410,NAICS,4411,,,USA,TX,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,61465.208,,,,,,1590.292,,,,,,
JOHNSON VOLVO CARS DURHAM  32873,T001T32873,NAICS,4411,,,USA,NC,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,1766.588,,7643.129,,,,,17474.991,,,,,9220.563,,,,,-1969.998,,71682.611,,,,0.0,,-2225.34,506.629,,,,959.392,
JOHNSON VOLVO CARS DURHAM  32873,T001T32873,NAICS,4411,,,USA,NC,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,71246.941,,,,,,-2265.499,,,,,,
JAFFARIAN TOYOTA  20006  JAFFARIAN VOLVO  20785,T001T20006,NAICS,4411,,,USA,MA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,7089.893,,14426.265,,,,,29502.555,,,,,17373.42,,,,,8748.951,,126609.311,,,,803.231,,-596.526,610.358,,,,2122.497,
JAFFARIAN TOYOTA  20006  JAFFARIAN VOLVO  20785,T001T20006,NAICS,4411,,,USA,MA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,127422.432,,,,,,1286.393,,,,,,
DAVE KIRK CHEVROLET BUICK GMC  41735,T001T41735,NAICS,4411,,,USA,TN,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,1844.014,,9126.553,,,,,24119.599,,,,,9243.473,,,,,4130.693,,71885.734,,,,138.69,,997.861,6.938,,,,2076.196,
DAVE KIRK CHEVROLET BUICK GMC  41735,T001T41735,NAICS,4411,,,USA,TN,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,75541.18,,,,,,1479.995,,,,,,
AUTOLAND CHRY JEEP DODGE  29713,T001T29713,NAICS,4411,,,USA,NJ,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,4331.02,,12863.415,,,,,21944.476,,,,,16123.787,,,,,126.914,,73764.188,,,,156.121,,-1302.147,31.571,,,,1256.194,
WILDE TOYOTA,T001T48030,NAICS,4411,,,USA,WI,UDS 4.0,2022-08-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,13885.905,,7405.672,,,,,25458.646,,,,,3249.383,,,,,20744.24,,176363.073,,,,9.5265,,3101.3745,16.2315,,,,8514.7545,
WILDE TOYOTA,T001T48030,NAICS,4411,,,USA,WI,UDS 4.0,2021-08-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,218685.757,,,,,,1441.663,,,,,,
ONE SUBARU OF HAYWARD  54782,T001T54782,NAICS,4411,,,USA,CA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,287.629,,4813.392,,,,,8752.651,,,,,6080.46,,,,,-2045.268,,81863.077,,,,394.469,,-2517.262,210.335,,,,0.0,
ONE SUBARU OF HAYWARD  54782,T001T54782,NAICS,4411,,,USA,CA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,112052.301,,,,,,-1172.347,,,,,,
K C  SUMMERS TOYOTA  12088,T001T12088,NAICS,4411,,,USA,IL,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,2011.82,,14118.205,,,,,21782.927,,,,,15760.863,,,,,10105.289,,104782.131,,,,271.685,,-649.713,247.648,,,,1047.958,
